sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
c350f80d4b182e1787099e1c86ff46defc150381,False,1,1,27,27,27.0,11,16,5,0.0,0.0,1.0,4486,646,159,4,"up: do not warn on successful optional dependency complete (#10870)

If an optional dependency exits successfully (exit code of 0),
with a service condition of `service_completed_successfully`,
don't log a warning.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1691096449
be22bc735a1a5a629b7580da3bf0b1d5bb3603cd,False,1,1,16,16,16.0,40,29,-11,0.0,0.0,0.0,4105,610,151,1,"network: fix random missing network when service has more than one

As part of the fix for #10668, the logic was adjusted so that the
default (highest-priority) network is used in the `ContainerCreate`,
and then the remaining networks are connected via calls to
`NetworkConnect` before starting the container.

Unfortunately, `ServiceConfig::NetworksByPriority` is neither
deterministic nor stable when networks have the same priority.

It's non-deterministic because the order of networks from parsing
YAML is random, since they are loaded into a Go map (which have
random iteration order). Additionally, it's not using a `SortStable`
in `compose-go`, so even if the load order was predictable, it
still might produce different results.

While I look at improving `compose-go` here to prevent this from
tripping us up in the future, this fix looks at _all_ networks for
a service and ignores the ""default"" one now. Before, it would
always skip the first one in the slice since that _should_ have
been the ""default"".

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1688714281
ff3984e6093672ede542f842148996b36f7d1fab,False,1,2,10,6,5.0,5,5,0,0.0,0.0,0.0,619,113,19,1,"otel: fix initialization / error-handling (#10717)

* If there's no `otel` key (or the value is `null`) in the config,
  don't return an error
* Propagate error from the exporter instead of panicking

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1686847395
b304c4e1547e0e9119a74207ae1661967e2986aa,False,1,1,9,9,9.0,3,6,3,0.5,0.5,0.5,463,80,15,2,"stop containers after termination

Signed-off-by: TP-O <letranphong2k1@gmail.com>",1683107276
9ef173a3aca1e2411f43b8348ac72fe8d144063e,False,1,1,16,16,16.0,6,10,4,0.0,0.0,1.0,1355,228,51,2,"log: fix race on container kill (#10459)

If we go to inspect a container that we got an event for and it
no longer exists on the server, handle clean up without erroring
out.

Fixes #10373.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1681316158
a842522f4966948514f9cd372a7073da02a87bc6,False,1,1,3,3,3.0,2,1,-1,,,,1601,248,63,1,"use filepath instead of path to check if the dockerfile path is abolute or not

Signed-off-by: Guillaume Lours <guillaume.lours@docker.com>",1638530122
113fb6732dc254884507ddbbe0faaa198728603e,False,1,2,30,23,15.0,533,59,-474,1.0,1.0,1.0,8562,1317,274,6,"schema: add support for tmpfs.mode in mount definition (#10031)

See compose-spec/compose-go#325 for the acutal spec change. This
propagates it to the Engine API object and adds an E2E test via
Cucumber 🥒

Fixes #9873.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1669998113
2e7644ff21f9ca0ea6fb5e8d41d4f6af32cd7e20,False,1,1,2,2,2.0,1,1,0,,,,1139,201,41,1,"use api.Separator to print right image names

Signed-off-by: windforce17 <wzcboss@qq.com>",1669882809
616777eb4ad4d1101622d6727d9b7adaeb7943bb,False,1,1,67,67,67.0,20,93,73,0.6027397260273972,1.0,1.0,1864,287,63,11,"deps: fix race condition during graph traversal (#9878)

Keep track of visited nodes to prevent visiting a service multiple
times. This is possible when a service depends on multiple others,
as an attempt could be made to visit it from multiple parents.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1664283673
a95cc4074a38a65c02e349ef284a9a4f28e2a0cc,False,1,1,12,12,12.0,21,3,-18,0.36363636363636365,0.36363636363636365,0.0,2130,327,63,4,"Remove support for `DOCKER_HOST` in `.env` files (#9871)

Revert ""Merge pull request #9817 from ulyssessouza/apply-newly-loaded-envvars""

This reverts commit 126cb988c6f0c00a2a9887b8a39dc0907daec289, reversing
changes made to b80222fb077436f2d4fcc62b3765d3a493891632.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1664198761
61845dd7816cec9d42c715c8b157f88dfe78fd54,False,1,3,35,21,11.666666666666666,26,290,264,0.09289617486338798,0.8087431693989071,0.8415300546448088,2235,446,32,3,"logs: filter to services from current Compose file (#9811)

* logs: filter to services from current Compose file

When using the file model, only attach to services
referenced in the active Compose file.

For example, let's say you have `compose-base.yaml`
and `compose.yaml`, where the former only has a
subset of the services but are both run as part of
the same named project.

Project based command:
```
docker compose -p myproj logs
```
This should return logs for active services based
on the project name, regardless of Compose file
state on disk.

File based command:
```
docker compose --file compose-base.yaml logs
```
This should return logs for ONLY services that are
defined in `compose-base.yaml`. Any other services
are considered 'orphaned' within the context of the
command and should be ignored.

See also #9705.

Fixes #9801.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1662668760
bbaaa6a9de8c4f54b2db85ae86c592638a94d83b,False,1,3,80,68,26.666666666666668,9,186,177,0.2543859649122807,1.0,1.0,2892,431,107,8,"config: case-insensitive env vars on Windows (#9438)

Signed-off-by: IKEDA Yasuyuki <devld@ikedam.jp>",1659466569
765c071c89cf2ec8ef35bf628c570d89e2154ce7,False,1,3,116,66,38.666666666666664,3,203,200,0.4519230769230769,1.0,0.8365384615384616,832,141,22,9,"up: do not stop dependency containers (#9701)

This keeps parity with v1, where only the containers explicitly
passed to `up` are torn down when `Ctrl-C` is hit, so any
dependencies that got launched (or orphan containers hanging
around) should not be touched.

Fixes #9696.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1659468359
